STATION_NAME,STN_ID,LAT,LON,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,30.36,30.79,27.41,23.23,20.01,16.97,16.12,16.85,19.77,22.65,25.69,27.64
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,25.58,25.97,25.15,23.61,20.42,18.48,16.99,17.13,18.45,19.61,22.03,23.95
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,38.24,35.94,33.43,30.92,25.06,21.47,21.32,25.02,30.0,32.38,35.01,36.5
AMBERLEY-AMO,40004,-27.63,152.71,32.91,31.85,30.82,28.32,25.57,23.67,23.56,24.32,27.77,29.57,30.39,32.07
BARCALDINE-POST-OFFICE,36007,-23.55,145.29,39.23,36.74,35.88,33.0,29.35,26.61,25.24,28.64,32.6,35.66,36.0,36.94
BATHURST-AGRICULTURAL-STATION,63005,-33.43,149.56,29.97,27.82,25.37,21.35,16.94,13.03,12.1,13.48,17.29,20.35,23.38,27.69
BIRDSVILLE-AIRPORT,38026,-25.9,139.35,41.14,40.21,36.53,31.88,27.16,23.45,22.91,25.19,30.47,34.07,36.88,39.61
BOULIA-AIRPORT,38003,-22.91,139.9,39.43,39.51,38.38,32.95,28.21,24.68,25.59,27.16,33.57,35.59,37.79,39.98
BOURKE-AIRPORT-AWS,48245,-30.04,145.95,39.76,38.95,36.65,31.25,26.03,21.58,21.04,23.32,28.55,32.17,35.71,39.06
BRIDGETOWN-COMPARISON,9510,-33.96,116.14,30.5,30.81,28.58,24.99,20.91,18.18,16.66,17.68,19.46,21.66,25.54,28.25
BRISBANE-AERO,40842,-27.39,153.12,30.48,30.01,29.32,27.59,25.11,22.58,21.85,22.63,25.11,26.74,28.22,29.6
BROOME-AIRPORT,3003,-17.95,122.23,36.63,36.01,37.27,38.4,36.35,34.04,33.97,34.79,35.52,36.31,37.06,36.5
BUNDABERG-AERO,39128,-24.91,152.32,31.13,31.01,29.91,28.17,25.88,23.89,22.96,24.08,26.12,27.63,28.85,30.09
BURKETOWN-AIRPORT,29077,-17.75,139.54,35.32,34.72,35.64,35.43,33.25,30.14,30.15,31.92,34.6,36.62,37.32,36.39
BUTLERS-GORGE,96003,-42.28,146.28,19.25,19.99,17.27,13.85,11.16,9.77,8.83,9.52,10.49,13.02,15.87,16.97
CABRAMURRA-SMHEA-AWS,72161,-35.94,148.38,23.9,24.15,21.8,17.56,13.54,8.78,7.18,8.02,11.55,15.01,19.09,22.17
CAIRNS-AERO,31011,-16.87,145.75,33.13,32.68,32.01,31.1,29.55,27.73,27.28,28.21,29.79,31.36,32.36,32.85
CAMOOWEAL-TOWNSHIP,37010,-19.92,138.12,38.83,37.16,36.82,34.73,31.02,27.13,27.15,29.92,34.96,37.43,38.84,38.67
CANBERRA-AIRPORT,70351,-35.31,149.2,29.91,29.31,25.09,23.36,17.65,13.9,13.62,14.09,17.4,20.46,24.34,27.05
CAPE-BORDA,22823,-35.75,136.6,24.34,24.04,22.8,19.66,17.72,15.87,15.01,15.24,16.5,18.28,20.77,22.42
CAPE-BRUNY-LIGHTHOUSE,94010,-43.49,147.15,19.67,20.15,18.79,16.94,15.22,13.51,13.16,13.53,14.91,15.7,16.84,18.14
CAPE-LEEUWIN,9518,-34.37,115.14,26.08,26.46,26.12,24.79,22.72,20.6,19.69,19.41,19.83,20.91,22.9,24.88
CAPE-MORETON-LIGHTHOUSE,40043,-27.03,153.47,28.97,29.05,27.81,25.83,23.71,21.21,21.05,21.29,23.88,25.37,26.58,27.88
CAPE-OTWAY-LIGHTHOUSE,90015,-38.86,143.51,20.9,21.73,20.08,17.9,15.93,14.09,13.67,13.98,15.38,16.69,17.99,19.0
CARNARVON-AIRPORT,6011,-24.89,113.67,32.62,34.37,32.89,31.33,28.42,25.37,24.42,24.5,25.85,27.28,29.85,30.9
CEDUNA-AMO,18012,-32.13,133.7,30.39,30.22,28.9,26.0,22.76,20.19,19.35,20.48,23.59,25.95,27.92,28.87
CHARLEVILLE-AERO,44021,-26.41,146.26,38.86,35.88,34.67,29.33,27.17,21.74,21.52,26.13,29.64,32.88,34.89,37.22
CHARTERS-TOWERS-AIRPORT,34084,-20.05,146.27,35.41,34.14,32.7,30.94,28.93,26.61,25.92,27.48,30.8,33.41,35.03,35.59
COBAR-MO,48027,-31.48,145.83,36.03,35.07,32.49,27.85,22.58,18.69,17.85,19.59,24.28,27.6,31.29,35.56
COFFS-HARBOUR-MO,59040,-30.31,153.12,30.81,30.89,29.91,27.79,25.58,23.56,22.73,24.18,26.26,28.13,28.39,30.06
CUNDERDIN-AIRFIELD,10286,-31.62,117.22,37.5,37.02,33.84,29.56,24.22,20.47,19.03,19.19,23.07,27.99,33.3,36.12
DALWALLINU-COMPARISON,8039,-30.28,116.66,37.41,36.18,33.82,29.35,23.36,19.61,18.28,19.94,23.62,28.34,31.16,34.96
DARWIN-AIRPORT,14015,-12.42,130.89,33.92,33.56,34.29,35.43,34.96,33.52,33.42,34.5,34.92,35.69,35.87,34.62
DENILIQUIN-AIRPORT-AWS,74258,-35.56,144.95,35.05,33.09,29.98,25.64,19.83,16.12,15.17,17.18,19.9,24.39,29.37,31.88
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,33.43,33.07,29.73,25.72,21.14,17.28,16.08,17.34,21.25,25.5,28.12,31.83
EAST-SALE-AIRPORT,85072,-38.12,147.13,26.08,26.54,24.3,21.31,17.97,15.44,14.47,15.73,17.72,20.29,21.77,23.98
ESPERANCE,9789,-33.83,121.89,27.85,27.72,26.09,24.27,21.63,19.24,17.87,18.35,19.96,21.59,23.99,25.08
EUCLA,11003,-31.68,128.88,27.76,27.43,26.45,24.7,22.06,19.92,19.24,20.06,23.5,25.21,25.83,25.77
FORREST,11052,-30.85,128.11,35.07,33.32,30.67,27.83,24.05,20.52,20.03,20.99,25.69,27.91,30.61,31.97
GABO-ISLAND-LIGHTHOUSE,84016,-37.57,149.92,22.45,23.06,21.93,20.47,18.31,16.42,15.35,15.74,17.17,18.76,19.34,20.83
GAYNDAH-AIRPORT,39066,-25.62,151.62,36.08,34.71,33.66,31.39,28.3,26.08,25.27,27.44,31.17,33.1,33.87,35.27
GEORGETOWN-AIRPORT,30124,-18.3,143.53,35.14,34.14,35.19,34.12,31.75,29.56,30.0,30.38,34.59,37.05,37.64,37.35
GERALDTON-AIRPORT-COMPARISON,8051,-28.8,114.7,34.91,35.4,34.79,31.97,27.02,23.45,21.67,21.9,24.99,27.88,30.56,32.32
GILES-METEOROLOGICAL-OFFICE,13017,-25.03,128.3,39.59,37.49,35.81,31.16,25.29,22.25,21.63,24.4,29.47,34.62,35.99,37.6
GROVE-RESEARCH-STATION,94220,-42.99,147.07,23.7,24.03,22.3,19.12,16.25,13.8,13.55,14.6,16.4,17.84,19.96,21.35
GUNNEDAH-RESOURCE-CENTRE,55024,-31.03,150.27,35.0,33.71,31.36,27.77,22.85,18.48,17.03,20.35,24.75,28.73,30.9,33.67
HALLS-CREEK-AIRPORT,2012,-18.23,127.66,41.52,39.78,39.75,38.16,34.19,31.38,31.56,34.4,39.11,42.9,43.94,42.75
HOBART-ELLERSLIE-ROAD,94029,-42.89,147.33,24.14,23.8,22.03,19.84,17.31,14.38,14.33,15.66,17.46,19.47,20.54,22.44
HORN-ISLAND,27058,-10.58,142.29,31.67,31.21,31.23,31.06,30.27,29.74,29.04,29.52,30.38,32.07,32.93,32.46
INVERELL-RAGLAN-ST,56242,-29.78,151.11,31.95,29.71,28.34,25.14,21.44,17.66,16.84,19.27,23.02,25.85,28.28,30.1
JERVIS-BAY-POINT-PERPENDICULAR-AWS,68151,-35.09,150.8,24.88,25.32,23.82,21.78,19.46,17.4,16.63,17.52,19.72,20.61,21.69,24.24
KALGOORLIE-BOULDER-AIRPORT,12038,-30.78,121.45,35.22,33.31,29.97,26.0,21.82,19.02,18.2,19.13,24.02,27.0,29.86,32.67
KALUMBURU,1019,-14.3,126.65,36.0,34.52,34.85,36.06,34.91,33.68,33.69,34.61,37.28,38.22,38.51,36.39
KATANNING-COMPARISON,10579,-33.69,117.56,31.19,30.93,28.59,24.78,20.04,17.28,15.66,16.45,18.71,21.91,26.42,29.45
KERANG,80023,-35.72,143.92,35.54,34.67,32.74,27.24,21.95,17.73,17.1,19.41,23.24,27.08,30.33,33.53
KYANCUTTA,18044,-33.13,135.56,33.68,33.74,30.6,26.83,22.36,18.53,18.13,19.27,22.62,25.65,28.77,31.18
LARAPUNA-EDDYSTONE-POINT,92045,-40.99,148.35,23.1,23.41,22.24,19.87,17.74,15.68,14.93,15.34,16.75,18.21,19.72,21.87
LAUNCESTON-AIRPORT,91311,-41.55,147.21,25.26,25.64,23.79,19.63,15.87,13.34,12.75,13.72,15.31,17.7,20.79,22.86
LAVERTON-RAAF,87031,-37.86,144.76,25.94,26.53,24.55,21.23,17.95,15.57,14.81,15.98,18.33,20.09,22.44,24.24
LEARMONTH-AIRPORT,5007,-22.24,114.1,39.17,37.67,36.89,34.36,29.23,25.87,25.04,26.75,29.96,33.08,35.25,37.05
LONGREACH-AERO,36031,-23.44,144.28,38.71,37.81,37.54,32.86,29.35,24.43,25.38,27.65,31.3,36.23,37.62,38.45
LOW-HEAD,91293,-41.06,146.79,22.07,22.66,21.68,19.54,17.32,15.08,14.17,14.27,15.35,17.0,18.59,20.87
MACKAY-M.O,33119,-21.12,149.22,31.12,30.79,29.57,27.77,25.31,23.23,22.78,23.48,26.39,28.63,30.19,31.17
MARBLE-BAR,4106,-21.18,119.75,41.49,38.96,38.97,35.8,31.66,28.62,28.78,30.51,36.29,39.95,41.67,42.22
MARREE,17031,-29.65,138.06,41.76,40.67,38.42,32.73,26.75,22.18,22.31,24.4,30.23,33.02,37.15,39.77
MEEKATHARRA-AIRPORT,7045,-26.61,118.54,39.11,37.81,35.54,30.83,25.94,20.64,19.94,23.04,26.59,31.22,35.03,37.39
MELBOURNE-REGIONAL-OFFICE,86071,-37.81,144.97,28.02,28.52,25.91,22.96,19.25,16.51,15.66,17.15,19.49,22.07,24.58,27.85
MERREDIN,10092,-31.48,118.28,35.31,34.12,31.32,27.36,22.09,18.56,16.74,18.42,21.91,25.58,29.93,33.49
MILDURA-AIRPORT,76031,-34.24,142.09,34.83,34.36,29.95,26.82,21.76,18.64,17.87,19.51,23.09,26.6,30.69,33.48
MILES-CONSTANCE-STREET,42112,-26.66,150.18,35.22,33.6,32.21,28.98,24.4,21.45,20.74,22.38,26.87,29.97,31.8,34.2
MORAWA-AIRPORT,8296,-29.2,116.02,40.52,39.01,37.0,32.7,26.27,22.22,20.87,21.77,26.63,31.64,34.66,37.83
MOREE-AERO,53115,-29.49,149.85,34.61,33.31,31.7,27.9,23.53,19.93,18.91,20.04,25.08,28.52,30.96,33.42
MORUYA-HEADS-PILOT-STATION,69018,-35.91,150.15,24.84,24.5,24.01,22.43,19.79,17.97,17.05,18.46,19.49,21.36,21.68,23.14
MOUNT-GAMBIER-AERO,26021,-37.75,140.77,27.86,28.37,25.74,22.79,19.27,16.99,16.35,16.72,18.18,20.15,23.45,25.36
NHILL-AERODROME,78015,-36.31,141.65,32.35,32.37,29.43,24.46,19.9,16.51,15.5,17.34,19.72,23.63,27.03,30.59
NORMANTON-AIRPORT,29063,-17.69,141.07,36.5,35.36,35.57,36.11,33.76,31.44,31.0,32.82,35.8,37.86,38.19,37.22
