STATION_NAME,STN_ID,LAT,LON,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,30.72,29.43,27.42,23.56,20.04,16.92,15.81,17.21,19.77,22.77,25.87,27.99
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,24.47,25.18,24.26,22.57,19.6,17.56,16.2,16.29,17.77,18.96,21.03,23.21
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,38.32,36.67,33.63,29.32,25.04,20.97,21.44,24.3,30.49,32.85,34.79,36.19
AMBERLEY-AMO,40004,-27.63,152.71,33.8,32.21,30.98,28.66,25.8,23.35,22.59,24.71,28.18,30.24,31.24,32.78
BARCALDINE-POST-OFFICE,36007,-23.55,145.29,39.09,37.39,35.49,31.97,28.68,25.22,24.48,27.68,31.65,34.48,35.54,36.71
BATHURST-AGRICULTURAL-STATION,63005,-33.43,149.56,31.31,29.61,27.81,23.49,18.92,14.58,13.37,15.15,18.86,22.86,26.01,30.02
BIRDSVILLE-AIRPORT,38026,-25.9,139.35,43.71,40.35,38.83,34.25,28.05,24.48,24.59,26.74,31.74,35.43,40.31,41.48
BOULIA-AIRPORT,38003,-22.91,139.9,43.83,43.27,41.85,37.0,32.35,28.82,28.83,31.32,38.16,41.16,42.58,43.34
BOURKE-AIRPORT-AWS,48245,-30.04,145.95,38.94,37.26,34.51,30.54,25.32,22.08,20.89,23.21,27.84,31.12,35.37,38.28
BRIDGETOWN-COMPARISON,9510,-33.96,116.14,30.26,30.32,28.1,24.25,20.33,17.57,16.5,16.96,18.95,21.18,25.13,27.87
BRISBANE-AERO,40842,-27.39,153.12,33.66,33.44,32.26,30.2,27.86,25.43,24.87,25.87,28.83,30.85,31.81,32.7
BROOME-AIRPORT,3003,-17.95,122.23,34.32,33.68,34.92,35.45,33.68,31.53,31.06,32.12,33.4,34.11,34.21,34.98
BUNDABERG-AERO,39128,-24.91,152.32,32.78,32.23,31.31,29.65,27.24,25.55,24.74,26.15,28.3,29.64,30.54,31.79
BURKETOWN-AIRPORT,29077,-17.75,139.54,35.61,34.98,35.63,35.43,33.89,31.17,31.68,32.65,34.89,37.03,37.8,37.34
BUTLERS-GORGE,96003,-42.28,146.28,20.44,20.95,17.76,15.27,11.92,10.29,9.26,9.9,10.62,13.59,16.53,18.44
CABRAMURRA-SMHEA-AWS,72161,-35.94,148.38,20.75,21.14,17.93,12.84,9.58,5.11,3.91,4.85,8.38,12.23,14.49,18.63
CAIRNS-AERO,31011,-16.87,145.75,32.49,32.16,31.28,29.93,28.46,27.06,26.89,27.51,29.25,30.82,31.75,32.06
CAMOOWEAL-TOWNSHIP,37010,-19.92,138.12,38.95,37.71,36.55,34.34,30.73,26.92,27.13,28.91,34.36,36.88,38.28,39.28
CANBERRA-AIRPORT,70351,-35.31,149.2,30.32,29.87,26.26,24.01,18.67,14.61,14.05,15.0,18.99,22.12,25.69,29.36
CAPE-BORDA,22823,-35.75,136.6,23.89,24.36,22.21,19.39,17.14,15.28,14.58,14.53,16.09,17.84,20.48,22.04
CAPE-BRUNY-LIGHTHOUSE,94010,-43.49,147.15,19.12,19.44,17.97,16.4,14.45,12.73,12.42,12.99,14.41,15.17,16.34,17.53
CAPE-LEEUWIN,9518,-34.37,115.14,22.85,23.52,23.03,22.04,20.15,17.91,16.88,16.74,17.58,18.47,20.25,21.76
CAPE-MORETON-LIGHTHOUSE,40043,-27.03,153.47,28.79,28.42,27.33,25.36,23.24,20.89,20.32,21.23,23.73,25.05,26.55,27.84
CAPE-OTWAY-LIGHTHOUSE,90015,-38.86,143.51,20.79,21.33,19.67,18.27,16.12,13.67,13.21,13.87,14.72,16.3,17.52,19.22
CARNARVON-AIRPORT,6011,-24.89,113.67,32.22,34.12,32.5,30.52,27.56,24.4,23.43,24.2,25.54,27.16,29.07,30.52
CEDUNA-AMO,18012,-32.13,133.7,30.15,30.15,29.08,26.04,22.8,19.61,19.34,20.26,23.62,25.7,28.43,29.1
CHARLEVILLE-AERO,44021,-26.41,146.26,37.93,36.48,35.88,30.29,27.82,22.92,22.85,25.33,28.8,32.55,34.68,36.45
CHARTERS-TOWERS-AIRPORT,34084,-20.05,146.27,35.36,34.52,33.57,31.8,29.26,27.19,26.41,28.04,31.59,34.56,35.47,35.85
COBAR-MO,48027,-31.48,145.83,37.15,34.28,31.48,26.44,21.18,18.11,17.58,19.53,23.29,27.27,32.05,34.65
COFFS-HARBOUR-MO,59040,-30.31,153.12,28.0,27.35,26.04,24.61,22.55,20.42,19.39,21.22,23.19,24.78,25.21,27.1
CUNDERDIN-AIRFIELD,10286,-31.62,117.22,35.8,34.83,31.24,27.7,22.59,19.34,17.51,17.94,22.14,25.92,30.36,34.08
DALWALLINU-COMPARISON,8039,-30.28,116.66,38.27,37.33,34.73,30.46,24.6,21.35,19.15,20.05,23.3,28.09,32.61,35.99
DARWIN-AIRPORT,14015,-12.42,130.89,35.19,34.68,35.86,37.29,36.81,35.59,35.07,35.96,36.84,37.62,37.25,36.26
DENILIQUIN-AIRPORT-AWS,74258,-35.56,144.95,33.51,33.33,29.8,25.05,20.23,16.19,14.84,17.03,20.58,24.96,28.56,30.92
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,34.13,33.21,30.66,26.17,21.86,17.85,16.45,18.15,22.39,25.35,29.68,32.71
EAST-SALE-AIRPORT,85072,-38.12,147.13,30.32,29.88,28.28,25.29,20.88,18.02,17.56,18.73,20.69,23.57,26.71,28.63
ESPERANCE,9789,-33.83,121.89,26.78,26.91,25.68,23.69,20.78,18.36,17.08,17.81,19.63,21.07,23.38,24.14
EUCLA,11003,-31.68,128.88,27.26,26.89,26.21,24.23,22.12,19.94,19.09,19.94,23.15,25.07,25.42,26.06
FORREST,11052,-30.85,128.11,35.11,34.1,31.1,27.7,23.68,20.62,20.21,21.59,26.14,28.21,30.69,32.34
GABO-ISLAND-LIGHTHOUSE,84016,-37.57,149.92,24.2,24.54,23.49,22.52,20.04,17.94,17.13,17.46,18.79,20.02,21.19,22.57
GAYNDAH-AIRPORT,39066,-25.62,151.62,35.05,33.75,32.57,29.95,26.64,24.36,23.81,25.31,28.78,31.31,32.81,34.6
GEORGETOWN-AIRPORT,30124,-18.3,143.53,35.68,34.29,34.61,33.83,31.49,29.38,29.59,30.18,34.37,36.96,37.7,36.94
GERALDTON-AIRPORT-COMPARISON,8051,-28.8,114.7,32.33,33.63,32.26,29.54,25.48,22.18,20.25,20.75,22.79,25.23,28.59,30.5
GILES-METEOROLOGICAL-OFFICE,13017,-25.03,128.3,42.17,40.85,38.93,34.78,28.19,24.57,24.72,28.26,34.27,37.96,40.33,40.55
GROVE-RESEARCH-STATION,94220,-42.99,147.07,24.84,24.54,22.69,19.71,16.86,14.57,14.4,15.45,16.82,18.66,20.91,22.34
GUNNEDAH-RESOURCE-CENTRE,55024,-31.03,150.27,34.67,32.54,30.39,26.87,22.24,18.17,17.28,19.28,22.93,27.08,30.34,31.99
HALLS-CREEK-AIRPORT,2012,-18.23,127.66,38.19,36.16,37.56,35.61,32.23,28.55,28.66,30.81,36.45,39.04,39.48,38.52
HOBART-ELLERSLIE-ROAD,94029,-42.89,147.33,22.65,22.95,21.32,18.86,16.12,13.48,13.3,14.31,16.6,18.15,19.63,21.52
HORN-ISLAND,27058,-10.58,142.29,32.2,31.56,31.76,31.98,31.08,30.31,29.76,29.9,31.0,32.4,33.24,33.13
INVERELL-RAGLAN-ST,56242,-29.78,151.11,31.51,30.81,29.72,25.81,22.08,18.43,17.85,19.37,22.47,25.04,27.65,30.18
