STATION_NAME,STN_ID,LAT,LON,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,30.35,30.72,27.65,23.75,20.07,16.77,15.94,16.93,19.99,22.66,25.37,27.67
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,24.65,25.21,24.38,22.55,19.4,16.89,15.88,16.37,17.82,19.03,21.05,23.06
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,40.21,37.71,35.93,30.29,24.36,20.73,21.92,25.0,30.35,33.71,36.69,36.98
AMBERLEY-AMO,40004,-27.63,152.71,35.1,34.65,33.86,31.28,28.47,26.18,25.61,27.25,30.29,32.49,33.28,34.5
BARCALDINE-POST-OFFICE,36007,-23.55,145.29,40.39,38.57,37.8,34.59,30.6,27.91,27.19,29.74,34.45,38.67,40.15,39.94
BATHURST-AGRICULTURAL-STATION,63005,-33.43,149.56,33.57,32.12,29.76,26.57,21.34,16.98,16.0,17.79,21.7,25.97,30.3,32.08
BIRDSVILLE-AIRPORT,38026,-25.9,139.35,40.6,39.1,37.1,32.2,26.37,22.76,22.33,24.48,28.81,32.56,35.4,39.0
BOULIA-AIRPORT,38003,-22.91,139.9,40.51,37.85,37.07,33.34,28.38,24.95,24.95,28.77,33.38,37.09,38.75,39.73
BOURKE-AIRPORT-AWS,48245,-30.04,145.95,40.35,37.44,35.48,30.97,24.92,21.17,20.39,22.53,27.33,31.6,37.04,38.39
BRIDGETOWN-COMPARISON,9510,-33.96,116.14,30.41,30.61,28.15,24.68,20.81,18.49,17.1,17.15,18.97,21.33,25.25,28.16
BRISBANE-AERO,40842,-27.39,153.12,29.75,29.3,28.38,26.67,24.1,22.33,21.32,22.33,24.93,26.49,27.38,29.16
BROOME-AIRPORT,3003,-17.95,122.23,35.61,34.53,36.46,38.12,36.46,33.14,32.12,33.86,34.55,35.48,35.75,35.5
BUNDABERG-AERO,39128,-24.91,152.32,31.65,31.51,30.54,28.77,26.37,23.96,23.34,24.57,26.81,28.33,29.51,30.84
BURKETOWN-AIRPORT,29077,-17.75,139.54,35.06,34.1,34.75,34.56,32.79,29.98,29.94,30.86,33.78,36.06,36.79,36.32
BUTLERS-GORGE,96003,-42.28,146.28,19.12,19.55,16.95,14.32,11.39,9.33,8.43,9.46,9.82,12.81,15.75,17.28
CABRAMURRA-SMHEA-AWS,72161,-35.94,148.38,21.43,22.85,18.31,14.53,9.82,5.57,4.63,6.23,9.18,12.92,15.13,19.38
CAIRNS-AERO,31011,-16.87,145.75,33.04,32.75,31.79,30.5,28.92,27.35,26.67,27.3,28.49,30.24,31.57,32.58
CAMOOWEAL-TOWNSHIP,37010,-19.92,138.12,38.91,38.06,37.6,35.35,30.75,27.58,27.6,30.2,34.85,37.76,39.28,39.22
CANBERRA-AIRPORT,70351,-35.31,149.2,31.44,29.94,27.08,24.38,18.84,14.85,14.25,15.11,19.08,22.9,25.71,29.48
