STATION_NAME,STN_ID,LAT,LON,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,31.36,31.18,27.65,24.3,20.6,17.54,16.52,17.97,20.79,22.75,26.75,28.83
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,24.49,24.79,23.86,22.39,19.25,17.07,15.93,16.17,17.7,18.62,21.12,23.03
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,40.81,38.48,37.47,32.41,27.37,22.68,23.59,27.35,33.49,35.84,37.89,39.21
AMBERLEY-AMO,40004,-27.63,152.71,32.89,32.11,30.74,28.53,25.81,23.96,23.37,24.44,27.98,29.85,31.05,32.08
BARCALDINE-POST-OFFICE,36007,-23.55,145.29,37.17,35.81,35.46,32.43,28.48,25.65,25.06,26.76,31.26,34.34,35.39,37.18
BATHURST-AGRICULTURAL-STATION,63005,-33.43,149.56,30.7,28.42,25.81,22.3,17.61,13.6,12.54,14.1,17.34,21.1,25.15,27.54
BIRDSVILLE-AIRPORT,38026,-25.9,139.35,43.92,42.82,40.29,35.74,30.63,26.97,26.93,29.5,35.19,37.2,40.78,42.87
BOULIA-AIRPORT,38003,-22.91,139.9,39.49,38.63,37.01,32.68,28.92,25.47,25.31,26.91,31.45,34.66,36.57,39.23
BOURKE-AIRPORT-AWS,48245,-30.04,145.95,40.64,39.64,36.33,32.05,25.98,21.79,20.74,24.49,30.2,33.89,35.94,38.15
BRIDGETOWN-COMPARISON,9510,-33.96,116.14,31.26,31.06,28.86,25.23,21.1,18.52,17.36,18.13,20.22,22.24,26.06,28.65
BRISBANE-AERO,40842,-27.39,153.12,31.04,30.95,30.06,27.88,25.42,23.33,22.55,23.56,26.07,27.63,28.65,30.24
BROOME-AIRPORT,3003,-17.95,122.23,34.1,33.14,34.57,35.65,33.28,31.29,30.94,31.57,32.68,33.9,34.17,34.69
BUNDABERG-AERO,39128,-24.91,152.32,32.08,31.92,30.84,29.07,26.55,25.02,24.42,25.51,27.99,29.14,30.13,31.32
BURKETOWN-AIRPORT,29077,-17.75,139.54,36.01,34.78,35.59,35.67,33.8,30.93,29.75,31.03,33.84,36.24,37.15,36.83
BUTLERS-GORGE,96003,-42.28,146.28,19.67,19.87,17.68,14.73,11.51,9.71,8.72,9.58,10.17,13.28,16.57,17.61
CABRAMURRA-SMHEA-AWS,72161,-35.94,148.38,21.58,21.52,18.65,13.97,9.53,5.81,4.48,4.87,9.02,12.06,16.45,18.54
CAIRNS-AERO,31011,-16.87,145.75,31.95,31.68,31.09,29.73,28.21,26.69,25.96,26.76,28.55,30.01,31.22,31.84
CAMOOWEAL-TOWNSHIP,37010,-19.92,138.12,38.92,37.49,36.86,34.46,30.37,27.44,27.56,30.04,34.15,36.49,38.46,38.83
CANBERRA-AIRPORT,70351,-35.31,149.2,29.32,28.72,24.57,23.0,17.11,13.34,13.28,13.78,17.34,20.55,23.93,27.23
CAPE-BORDA,22823,-35.75,136.6,24.18,23.91,22.28,20.11,17.34,15.39,14.96,15.02,16.44,18.18,20.47,22.0
CAPE-BRUNY-LIGHTHOUSE,94010,-43.49,147.15,20.26,20.5,19.28,17.91,15.82,13.74,13.72,13.97,15.14,15.96,17.24,18.77
CAPE-LEEUWIN,9518,-34.37,115.14,23.3,23.98,23.39,22.3,20.45,18.75,17.5,16.97,17.74,18.94,20.76,22.17
CAPE-MORETON-LIGHTHOUSE,40043,-27.03,153.47,28.39,28.0,26.64,25.08,22.82,20.82,20.02,20.44,22.99,24.1,26.03,27.48
CAPE-OTWAY-LIGHTHOUSE,90015,-38.86,143.51,21.96,22.55,20.78,19.2,17.03,15.19,14.28,14.88,16.3,17.97,19.0,20.49
CARNARVON-AIRPORT,6011,-24.89,113.67,33.63,35.1,33.45,31.43,28.89,25.0,24.12,24.64,25.62,28.04,29.86,31.21
CEDUNA-AMO,18012,-32.13,133.7,30.34,30.04,28.16,25.48,21.9,19.1,18.81,19.95,23.16,25.11,27.66,27.88
CHARLEVILLE-AERO,44021,-26.41,146.26,36.62,35.18,35.01,28.96,27.17,22.13,21.88,24.5,27.93,31.94,33.51,35.56
CHARTERS-TOWERS-AIRPORT,34084,-20.05,146.27,35.48,34.89,34.2,31.94,29.27,27.26,26.67,28.08,31.41,34.24,35.1,36.22
COBAR-MO,48027,-31.48,145.83,36.36,34.75,31.54,25.91,21.64,17.98,16.71,19.38,23.4,26.56,29.87,34.09
COFFS-HARBOUR-MO,59040,-30.31,153.12,29.37,28.97,27.53,25.77,23.33,21.33,20.49,21.94,24.25,26.01,26.79,28.72
CUNDERDIN-AIRFIELD,10286,-31.62,117.22,35.0,34.12,32.31,28.42,22.69,18.7,16.73,17.76,21.08,26.32,29.74,33.4
DALWALLINU-COMPARISON,8039,-30.28,116.66,36.23,34.83,31.86,28.5,22.86,18.8,17.58,19.29,22.26,27.21,30.41,33.83
DARWIN-AIRPORT,14015,-12.42,130.89,33.34,32.55,33.28,34.4,33.49,32.01,31.89,32.63,33.86,34.69,34.91,34.02
DENILIQUIN-AIRPORT-AWS,74258,-35.56,144.95,36.87,35.85,32.18,28.09,22.96,18.85,18.11,19.81,23.32,27.09,32.16,35.35
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,34.48,32.49,29.74,25.34,20.65,16.79,15.81,17.22,21.59,26.04,30.22,31.79
EAST-SALE-AIRPORT,85072,-38.12,147.13,27.28,27.7,25.29,22.66,19.14,15.95,15.84,17.38,19.31,21.88,23.8,25.79
ESPERANCE,9789,-33.83,121.89,27.17,27.26,26.39,24.31,21.19,18.63,17.49,18.14,20.04,21.85,23.9,24.77
EUCLA,11003,-31.68,128.88,27.14,26.76,26.68,24.42,21.83,19.45,18.67,19.66,22.75,24.84,25.3,25.57
FORREST,11052,-30.85,128.11,34.18,33.45,30.99,27.61,22.96,19.7,19.64,21.02,25.61,27.61,30.74,30.92
GABO-ISLAND-LIGHTHOUSE,84016,-37.57,149.92,22.5,23.35,21.96,20.11,18.11,16.77,15.62,15.72,17.48,18.98,19.55,21.09
GAYNDAH-AIRPORT,39066,-25.62,151.62,35.38,33.82,32.93,30.76,27.67,24.85,24.21,26.64,30.67,32.03,32.96,34.33
GEORGETOWN-AIRPORT,30124,-18.3,143.53,36.78,35.51,35.8,35.27,33.16,31.66,31.54,32.91,35.45,38.21,39.37,38.47
GERALDTON-AIRPORT-COMPARISON,8051,-28.8,114.7,33.04,34.58,32.31,29.67,25.79,22.72,21.08,21.18,23.53,25.92,29.24,30.81
GILES-METEOROLOGICAL-OFFICE,13017,-25.03,128.3,39.61,37.28,35.62,31.2,26.02,21.66,22.02,24.7,30.79,34.53,36.31,37.94
GROVE-RESEARCH-STATION,94220,-42.99,147.07,23.0,23.63,21.26,18.35,15.62,13.53,13.1,14.29,15.96,17.65,19.51,21.04
GUNNEDAH-RESOURCE-CENTRE,55024,-31.03,150.27,33.3,32.14,29.82,25.77,21.72,17.62,16.4,18.95,23.1,26.38,29.45,31.66
HALLS-CREEK-AIRPORT,2012,-18.23,127.66,39.84,37.81,38.12,36.88,33.55,30.83,31.2,33.5,37.79,38.98,40.76,40.1
HOBART-ELLERSLIE-ROAD,94029,-42.89,147.33,23.09,23.43,22.06,19.6,16.76,14.03,13.9,15.03,17.1,18.8,20.28,22.07
HORN-ISLAND,27058,-10.58,142.29,31.57,30.99,31.17,31.07,30.41,29.88,29.27,29.05,30.34,31.71,32.93,32.4
INVERELL-RAGLAN-ST,56242,-29.78,151.11,33.18,31.5,30.04,25.84,22.51,18.44,17.13,19.85,23.13,26.33,28.23,31.4
JERVIS-BAY-POINT-PERPENDICULAR-AWS,68151,-35.09,150.8,25.43,25.43,24.32,22.48,19.94,17.87,17.0,17.9,19.97,21.6,22.81,24.46
KALGOORLIE-BOULDER-AIRPORT,12038,-30.78,121.45,33.83,31.81,29.62,27.34,21.61,18.57,17.96,20.05,23.89,26.71,30.05,32.91
KALUMBURU,1019,-14.3,126.65,34.66,33.5,34.8,35.16,34.22,32.35,32.68,33.69,36.12,37.2,37.47,35.18
KATANNING-COMPARISON,10579,-33.69,117.56,31.84,31.11,28.75,25.57,20.4,17.4,16.23,17.17,19.82,23.33,27.23,30.17
KERANG,80023,-35.72,143.92,32.53,32.65,28.89,24.92,19.4,15.69,15.05,17.78,20.83,24.9,27.62,30.95
KYANCUTTA,18044,-33.13,135.56,33.42,33.45,30.01,26.85,22.09,18.71,18.1,19.88,23.13,26.18,29.46,31.32
LARAPUNA-EDDYSTONE-POINT,92045,-40.99,148.35,22.17,22.02,21.75,18.94,17.46,14.83,14.41,14.89,16.21,17.85,18.58,20.8
LAUNCESTON-AIRPORT,91311,-41.55,147.21,25.99,26.25,23.88,19.54,16.21,13.7,13.09,14.21,16.06,18.67,21.64,23.94
LAVERTON-RAAF,87031,-37.86,144.76,26.38,26.93,24.61,21.18,17.77,15.62,14.91,15.91,17.89,20.21,22.62,23.87
LEARMONTH-AIRPORT,5007,-22.24,114.1,39.17,38.65,38.12,34.82,30.22,26.11,25.57,27.61,30.15,34.09,35.83,37.4
LONGREACH-AERO,36031,-23.44,144.28,42.13,40.77,40.11,35.66,32.61,27.66,28.57,31.14,35.43,41.17,41.66,41.38
LOW-HEAD,91293,-41.06,146.79,20.93,20.87,20.19,18.15,15.79,13.54,12.71,13.21,14.17,16.21,17.21,19.17
MACKAY-M.O,33119,-21.12,149.22,31.96,31.85,30.83,28.72,26.42,24.15,23.0,24.88,27.71,29.81,30.97,31.82
MARBLE-BAR,4106,-21.18,119.75,44.46,42.96,41.81,40.39,35.55,32.15,32.08,34.72,39.74,43.13,44.86,44.74
MARREE,17031,-29.65,138.06,39.35,38.57,35.61,30.64,24.53,21.2,20.57,22.56,28.52,31.83,35.77,37.46
MEEKATHARRA-AIRPORT,7045,-26.61,118.54,40.62,39.48,35.05,30.7,26.31,21.08,20.7,22.82,26.56,31.14,34.93,37.75
MELBOURNE-REGIONAL-OFFICE,86071,-37.81,144.97,27.91,28.35,25.7,22.03,18.84,16.33,15.48,16.65,18.79,21.67,23.83,25.87
MERREDIN,10092,-31.48,118.28,35.45,34.17,30.34,27.0,22.17,19.15,17.23,17.42,21.95,25.28,29.79,33.28
MILDURA-AIRPORT,76031,-34.24,142.09,35.85,34.42,31.04,26.94,21.51,18.73,17.93,19.34,23.92,26.64,30.99,33.96
MILES-CONSTANCE-STREET,42112,-26.66,150.18,35.39,34.12,33.55,30.11,25.89,22.56,21.68,23.77,27.53,30.57,32.87,34.99
MORAWA-AIRPORT,8296,-29.2,116.02,37.9,37.43,33.34,30.51,23.65,20.52,19.27,21.12,23.8,28.11,31.92,35.3
MOREE-AERO,53115,-29.49,149.85,35.8,34.71,32.36,29.0,24.55,21.51,20.41,21.5,25.92,29.61,32.08,34.26
MORUYA-HEADS-PILOT-STATION,69018,-35.91,150.15,27.3,27.19,26.72,24.52,22.21,19.78,19.15,20.27,22.4,24.2,24.75,26.38
MOUNT-GAMBIER-AERO,26021,-37.75,140.77,25.68,26.14,24.05,20.81,17.22,14.53,14.13,15.28,16.68,18.87,21.33,23.94
NHILL-AERODROME,78015,-36.31,141.65,32.44,32.2,28.78,23.82,19.29,15.57,15.25,17.08,18.87,22.37,26.79,29.38
NORMANTON-AIRPORT,29063,-17.69,141.07,35.83,35.03,35.69,35.33,32.76,30.68,30.26,31.74,35.18,36.63,37.28,36.49
NORTH-SHIELDS-PORT-LINCOLN-AWS,18192,-34.6,135.88,26.36,26.6,24.31,22.26,20.12,17.56,16.83,16.91,19.01,21.25,23.55,24.17
NOWRA-RAN-AIR-STATION-AWS,68072,-34.95,150.54,30.2,29.63,28.34,26.01,22.75,19.87,19.27,20.87,23.85,26.23,27.3,29.62
