STATION_NAME,STN_ID,LAT,LON,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,31.44,31.74,27.92,25.34,21.63,18.66,17.68,18.49,20.9,23.7,27.07,29.05
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,26.93,27.46,27.22,24.92,21.85,19.3,17.99,18.61,20.3,21.44,23.57,25.73
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,39.71,36.47,34.34,30.39,24.76,21.26,20.76,24.89,29.51,32.4,35.01,37.56
AMBERLEY-AMO,40004,-27.63,152.71,34.66,33.87,33.02,30.93,27.61,25.84,25.33,26.69,30.09,31.72,33.26,33.82
BARCALDINE-POST-OFFICE,36007,-23.55,145.29,40.37,39.94,39.79,35.8,32.26,28.78,27.81,30.86,34.74,38.66,39.01,39.73
BATHURST-AGRICULTURAL-STATION,63005,-33.43,149.56,29.95,28.39,25.32,21.67,17.2,13.27,12.38,14.5,17.08,21.26,24.27,27.98
BIRDSVILLE-AIRPORT,38026,-25.9,139.35,41.56,39.83,38.03,33.51,28.31,24.47,23.83,25.24,30.88,34.5,38.25,40.23
BOULIA-AIRPORT,38003,-22.91,139.9,41.38,39.53,38.35,34.12,29.64,25.82,25.36,28.52,33.44,36.48,38.82,40.4
BOURKE-AIRPORT-AWS,48245,-30.04,145.95,40.45,38.97,36.38,30.61,25.27,22.03,21.53,23.38,29.32,32.85,35.93,38.89
BRIDGETOWN-COMPARISON,9510,-33.96,116.14,30.54,29.92,28.39,24.57,20.15,17.47,16.42,17.27,18.75,21.11,24.96,27.99
BRISBANE-AERO,40842,-27.39,153.12,32.34,31.89,30.26,28.46,26.13,23.97,23.08,24.26,26.77,28.65,30.25,31.76
BROOME-AIRPORT,3003,-17.95,122.23,34.68,33.41,34.8,35.48,32.86,30.16,29.88,31.22,32.75,33.87,34.55,34.53
BUNDABERG-AERO,39128,-24.91,152.32,31.07,30.43,29.51,27.91,25.46,23.46,23.01,23.66,26.01,27.68,28.64,29.98
BURKETOWN-AIRPORT,29077,-17.75,139.54,35.8,35.12,35.56,34.93,32.93,30.82,30.37,31.65,33.89,36.35,37.29,36.76
BUTLERS-GORGE,96003,-42.28,146.28,19.07,19.33,17.01,13.86,10.87,9.56,7.97,9.06,10.05,13.31,15.86,17.12
CABRAMURRA-SMHEA-AWS,72161,-35.94,148.38,20.71,21.18,18.05,14.15,10.33,6.29,4.76,5.13,8.73,11.39,15.17,18.84
CAIRNS-AERO,31011,-16.87,145.75,33.0,32.59,31.55,30.32,28.77,27.24,27.01,27.45,28.55,30.28,31.77,32.35
CAMOOWEAL-TOWNSHIP,37010,-19.92,138.12,38.42,37.19,36.62,34.66,30.67,26.82,27.2,28.72,33.58,36.75,37.65,38.38
CANBERRA-AIRPORT,70351,-35.31,149.2,30.39,27.91,24.03,22.88,17.11,13.65,12.94,14.06,18.22,21.31,24.88,26.92
CAPE-BORDA,22823,-35.75,136.6,24.44,25.06,23.46,20.47,18.26,16.37,15.38,15.42,16.82,18.49,21.26,23.03
CAPE-BRUNY-LIGHTHOUSE,94010,-43.49,147.15,20.5,21.42,20.32,18.53,15.97,14.2,13.65,13.82,15.35,16.29,17.88,19.44
CAPE-LEEUWIN,9518,-34.37,115.14,23.82,24.41,23.66,22.65,20.52,18.61,17.42,17.19,18.08,19.13,20.93,22.43
CAPE-MORETON-LIGHTHOUSE,40043,-27.03,153.47,28.76,28.49,27.35,25.74,23.54,21.33,20.73,20.84,23.37,24.82,26.3,27.99
CAPE-OTWAY-LIGHTHOUSE,90015,-38.86,143.51,22.69,23.32,22.03,20.2,17.97,15.52,14.57,15.05,16.49,18.09,19.44,21.29
CARNARVON-AIRPORT,6011,-24.89,113.67,32.26,33.75,32.88,31.08,27.71,24.15,23.44,23.78,25.15,26.93,28.63,30.14
CEDUNA-AMO,18012,-32.13,133.7,30.34,29.35,28.75,25.55,22.55,19.67,18.55,20.24,23.34,25.13,27.86,29.05
CHARLEVILLE-AERO,44021,-26.41,146.26,38.0,35.24,34.38,28.9,26.97,21.12,20.99,25.47,28.75,32.45,33.97,35.84
CHARTERS-TOWERS-AIRPORT,34084,-20.05,146.27,34.88,33.67,32.27,30.82,28.6,26.23,25.68,27.21,30.53,33.2,34.79,35.19
COBAR-MO,48027,-31.48,145.83,37.47,36.45,32.43,28.64,23.48,19.88,19.79,21.15,25.39,28.68,33.35,36.08
COFFS-HARBOUR-MO,59040,-30.31,153.12,27.94,27.88,26.84,25.1,22.51,20.61,20.07,20.74,23.35,24.91,25.56,27.16
CUNDERDIN-AIRFIELD,10286,-31.62,117.22,34.85,33.23,31.49,27.47,22.03,18.67,16.91,17.77,21.01,25.96,29.99,33.08
DALWALLINU-COMPARISON,8039,-30.28,116.66,37.96,36.78,33.17,29.32,24.03,19.63,18.49,19.63,22.62,27.65,32.07,35.32
DARWIN-AIRPORT,14015,-12.42,130.89,32.88,32.08,32.8,34.1,34.31,32.84,32.16,32.63,33.95,34.62,34.7,33.83
DENILIQUIN-AIRPORT-AWS,74258,-35.56,144.95,32.88,32.85,28.4,24.41,19.16,15.49,15.13,16.57,19.76,23.88,28.26,31.68
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,36.13,33.97,30.68,27.24,22.34,18.3,17.17,18.83,23.37,27.77,31.99,34.11
EAST-SALE-AIRPORT,85072,-38.12,147.13,27.25,27.38,25.44,22.55,18.94,16.37,15.91,16.94,19.39,21.41,23.28,25.29
ESPERANCE,9789,-33.83,121.89,27.26,26.68,26.01,23.74,20.83,18.58,16.86,18.02,19.67,21.26,23.49,24.71
EUCLA,11003,-31.68,128.88,27.59,27.27,26.12,24.37,21.87,19.45,18.78,19.73,22.83,24.89,25.44,25.35
FORREST,11052,-30.85,128.11,34.76,33.96,31.52,28.36,24.28,20.35,20.44,22.32,26.74,28.5,31.47,32.22
GABO-ISLAND-LIGHTHOUSE,84016,-37.57,149.92,23.0,23.13,22.17,20.05,18.3,16.26,15.3,16.05,17.21,18.6,19.16,20.88
GAYNDAH-AIRPORT,39066,-25.62,151.62,35.32,34.85,33.41,30.44,27.2,24.65,24.22,25.57,29.56,31.86,32.44,34.76
GEORGETOWN-AIRPORT,30124,-18.3,143.53,35.17,33.96,34.35,33.66,31.35,29.56,29.69,31.0,34.66,36.16,37.44,37.03
GERALDTON-AIRPORT-COMPARISON,8051,-28.8,114.7,33.21,34.47,32.96,29.89,25.96,22.49,20.89,21.52,23.67,26.38,28.94,31.35
GILES-METEOROLOGICAL-OFFICE,13017,-25.03,128.3,38.13,37.17,35.72,30.31,25.96,21.91,21.99,24.2,30.2,33.43,35.36,36.7
GROVE-RESEARCH-STATION,94220,-42.99,147.07,25.5,25.25,23.98,20.89,17.89,15.22,15.24,16.37,17.93,19.91,21.33,22.97
GUNNEDAH-RESOURCE-CENTRE,55024,-31.03,150.27,34.34,33.19,31.24,27.7,22.79,18.93,17.09,20.61,25.21,29.06,29.8,33.37
HALLS-CREEK-AIRPORT,2012,-18.23,127.66,38.47,37.01,37.22,35.8,32.58,29.72,29.84,31.53,36.34,38.82,39.69,39.45
HOBART-ELLERSLIE-ROAD,94029,-42.89,147.33,24.67,24.88,22.84,20.88,17.71,14.87,14.69,16.01,17.76,19.37,20.85,22.29
HORN-ISLAND,27058,-10.58,142.29,31.28,30.68,30.85,30.96,30.26,29.55,28.82,28.94,30.2,31.47,32.78,32.4
INVERELL-RAGLAN-ST,56242,-29.78,151.11,33.03,32.45,31.2,27.47,24.0,19.87,19.37,20.98,24.96,27.99,30.09,32.16
JERVIS-BAY-POINT-PERPENDICULAR-AWS,68151,-35.09,150.8,26.65,26.63,25.46,23.96,21.31,19.25,18.77,19.3,20.89,22.58,23.92,25.46
KALGOORLIE-BOULDER-AIRPORT,12038,-30.78,121.45,34.98,33.3,30.14,26.32,21.71,18.47,17.86,19.59,23.84,26.83,29.77,32.31
KALUMBURU,1019,-14.3,126.65,35.27,33.72,34.8,35.33,34.53,32.94,32.75,34.03,36.56,37.8,38.19,36.21
KATANNING-COMPARISON,10579,-33.69,117.56,31.98,31.4,28.56,25.47,21.12,17.31,16.26,16.72,18.93,22.86,27.23,30.29
KERANG,80023,-35.72,143.92,35.95,35.49,32.72,28.02,22.9,18.48,17.39,19.41,22.59,26.36,31.65,35.01
KYANCUTTA,18044,-33.13,135.56,33.78,33.69,30.47,26.62,22.17,19.02,18.48,19.43,22.91,26.38,29.61,31.97
LARAPUNA-EDDYSTONE-POINT,92045,-40.99,148.35,21.97,22.25,21.21,18.96,16.91,14.63,14.09,14.63,15.91,17.41,18.59,20.65
LAUNCESTON-AIRPORT,91311,-41.55,147.21,25.3,25.88,23.83,20.07,16.18,13.73,13.03,14.07,15.85,18.2,21.2,23.39
LAVERTON-RAAF,87031,-37.86,144.76,27.25,27.82,25.31,22.22,18.6,16.17,15.78,16.62,19.17,21.36,23.39,25.19
LEARMONTH-AIRPORT,5007,-22.24,114.1,41.84,41.1,40.45,37.35,32.34,28.75,28.62,30.44,33.41,37.79,39.01,40.75
LONGREACH-AERO,36031,-23.44,144.28,40.1,38.51,38.21,33.74,30.84,25.81,27.13,28.35,32.4,37.43,37.51,39.38
