STATION_NAME,STN_ID,LAT,LON,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,30.19,30.27,27.83,23.31,19.8,17.02,16.03,16.73,19.62,22.37,26.11,27.2
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,24.76,24.72,24.57,22.72,19.33,16.92,16.02,16.5,17.72,18.9,21.0,23.06
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,37.69,37.3,33.62,29.23,24.04,20.74,20.92,22.92,29.29,32.45,34.7,36.74
AMBERLEY-AMO,40004,-27.63,152.71,32.74,31.53,30.21,27.99,25.02,23.05,22.29,24.02,27.52,29.66,30.66,31.86
BARCALDINE-POST-OFFICE,36007,-23.55,145.29,38.34,37.55,36.6,32.34,28.37,25.42,25.09,26.03,32.09,35.41,36.47,38.05
BATHURST-AGRICULTURAL-STATION,63005,-33.43,149.56,29.8,28.67,26.13,21.65,17.19,13.57,12.21,14.45,17.73,21.34,24.08,27.93
BIRDSVILLE-AIRPORT,38026,-25.9,139.35,41.67,40.55,38.08,32.44,27.6,24.1,22.75,26.55,32.19,35.1,38.57,41.17
BOULIA-AIRPORT,38003,-22.91,139.9,40.66,39.68,38.76,32.97,29.61,25.12,25.51,28.41,33.53,37.43,38.65,40.6
BOURKE-AIRPORT-AWS,48245,-30.04,145.95,36.89,36.04,34.04,28.82,23.68,20.24,19.01,21.14,25.91,29.49,32.63,36.02
BRIDGETOWN-COMPARISON,9510,-33.96,116.14,30.74,30.57,28.97,25.77,20.85,17.98,17.08,17.72,19.31,21.38,25.51,28.2
BRISBANE-AERO,40842,-27.39,153.12,30.7,30.07,29.11,27.32,24.95,23.14,22.1,23.51,25.96,27.72,28.23,29.52
BROOME-AIRPORT,3003,-17.95,122.23,34.92,34.38,35.61,35.84,33.2,30.56,30.5,31.61,32.79,34.03,34.79,34.47
BUNDABERG-AERO,39128,-24.91,152.32,32.18,31.77,30.68,29.06,26.83,24.54,24.11,24.99,27.3,28.69,30.06,31.58
BURKETOWN-AIRPORT,29077,-17.75,139.54,35.73,35.48,36.13,36.05,34.58,31.66,31.34,32.39,34.78,36.97,37.3,37.12
BUTLERS-GORGE,96003,-42.28,146.28,20.88,20.99,17.86,14.98,11.87,10.85,9.07,10.06,11.22,13.92,17.1,18.57
CABRAMURRA-SMHEA-AWS,72161,-35.94,148.38,24.04,24.31,21.24,17.38,13.08,8.6,7.33,7.99,11.57,14.96,19.0,22.59
CAIRNS-AERO,31011,-16.87,145.75,33.85,33.21,32.57,31.41,29.98,28.35,28.1,28.64,30.26,32.15,33.08,33.42
CAMOOWEAL-TOWNSHIP,37010,-19.92,138.12,38.56,37.87,36.89,35.37,31.4,27.4,27.33,29.58,34.37,37.31,38.9,38.95
CANBERRA-AIRPORT,70351,-35.31,149.2,31.92,31.07,26.94,25.2,19.33,16.06,15.48,16.21,19.76,22.43,26.72,28.97
CAPE-BORDA,22823,-35.75,136.6,24.58,24.94,22.82,20.05,17.58,15.77,14.86,15.0,16.27,18.0,20.95,22.36
CAPE-BRUNY-LIGHTHOUSE,94010,-43.49,147.15,20.11,20.4,19.09,17.28,15.03,12.96,12.64,13.28,14.67,15.47,16.59,18.06
CAPE-LEEUWIN,9518,-34.37,115.14,24.5,25.08,24.43,23.28,21.38,19.72,18.27,17.87,18.55,19.73,21.68,23.06
CAPE-MORETON-LIGHTHOUSE,40043,-27.03,153.47,28.77,28.5,27.53,25.61,23.41,21.5,21.11,21.84,23.97,25.28,26.48,27.75
CAPE-OTWAY-LIGHTHOUSE,90015,-38.86,143.51,22.15,21.69,20.18,18.39,16.09,13.86,13.45,13.91,15.16,16.61,18.45,19.35
CARNARVON-AIRPORT,6011,-24.89,113.67,32.53,34.34,32.99,30.83,27.95,24.98,23.41,24.35,25.75,27.01,29.16,30.66
CEDUNA-AMO,18012,-32.13,133.7,29.41,29.46,28.76,25.48,21.99,19.23,18.83,19.62,22.94,25.18,27.27,27.69
CHARLEVILLE-AERO,44021,-26.41,146.26,37.03,35.03,35.34,29.12,27.3,21.74,21.19,24.63,28.18,31.93,33.85,35.94
CHARTERS-TOWERS-AIRPORT,34084,-20.05,146.27,36.68,35.75,34.73,33.14,30.5,28.49,27.73,29.67,32.96,35.88,36.86,36.69
COBAR-MO,48027,-31.48,145.83,36.1,35.19,31.03,27.38,22.36,18.73,18.07,19.52,23.68,27.33,31.04,34.41
COFFS-HARBOUR-MO,59040,-30.31,153.12,29.11,29.14,27.83,25.7,23.25,21.25,20.7,21.85,24.32,26.02,26.11,28.12
CUNDERDIN-AIRFIELD,10286,-31.62,117.22,35.35,34.3,31.24,27.12,22.54,19.36,17.69,17.57,21.02,25.51,30.61,33.33
