STATION_NAME,STN_ID,LAT,LON,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,31.62,31.07,28.71,26.14,21.79,18.69,17.88,19.28,22.38,24.91,27.67,30.05
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,24.9,25.23,24.25,22.54,19.93,17.59,16.27,16.48,18.13,19.16,21.33,23.35
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,40.3,38.31,35.9,30.78,25.71,22.01,20.72,25.31,30.35,32.71,35.63,38.11
AMBERLEY-AMO,40004,-27.63,152.71,36.22,35.43,34.34,31.95,28.96,26.37,26.09,27.63,31.68,34.24,35.0,35.61
BARCALDINE-POST-OFFICE,36007,-23.55,145.29,38.97,36.28,34.66,31.53,28.23,24.56,23.8,27.21,31.05,34.27,35.41,36.44
BATHURST-AGRICULTURAL-STATION,63005,-33.43,149.56,30.42,29.28,26.58,22.84,18.34,14.21,12.7,15.41,19.16,22.56,24.88,28.83
BIRDSVILLE-AIRPORT,38026,-25.9,139.35,42.97,42.09,39.49,34.79,28.56,24.61,24.69,27.65,33.02,35.47,38.72,40.7
BOULIA-AIRPORT,38003,-22.91,139.9,44.98,43.0,42.1,38.2,33.3,29.57,29.47,32.59,37.89,42.73,44.55,44.08
BOURKE-AIRPORT-AWS,48245,-30.04,145.95,39.17,37.74,34.76,28.59,23.87,20.58,19.76,22.39,27.71,31.17,34.5,37.67
BRIDGETOWN-COMPARISON,9510,-33.96,116.14,31.49,31.63,29.2,25.65,21.38,18.55,17.66,18.12,19.67,22.1,25.92,29.23
BRISBANE-AERO,40842,-27.39,153.12,30.29,29.69,28.56,26.93,24.58,22.44,21.79,22.12,25.14,26.58,27.78,29.47
BROOME-AIRPORT,3003,-17.95,122.23,33.61,32.95,34.58,35.2,32.85,30.18,29.56,30.69,32.38,33.02,34.05,33.52
BUNDABERG-AERO,39128,-24.91,152.32,31.01,30.67,29.7,27.81,25.85,23.74,22.82,24.53,26.77,27.85,29.02,30.07
BURKETOWN-AIRPORT,29077,-17.75,139.54,35.72,34.57,35.36,34.55,32.9,30.37,30.0,31.64,34.33,36.61,36.98,35.96
BUTLERS-GORGE,96003,-42.28,146.28,19.93,20.48,18.09,15.03,11.61,9.84,8.78,9.92,10.85,13.48,16.44,17.6
CABRAMURRA-SMHEA-AWS,72161,-35.94,148.38,21.83,22.5,18.89,14.99,10.9,7.27,5.27,5.95,9.91,13.33,16.31,19.49
