STATION_NAME,STN_ID,LAT,LON,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,30.87,31.07,28.55,23.86,20.87,17.37,16.42,17.38,20.77,23.37,26.69,29.28
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,25.13,26.53,25.18,23.43,20.35,17.92,16.49,17.22,18.67,19.64,21.99,24.14
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,38.5,36.6,34.7,30.35,25.06,21.55,21.41,24.62,29.35,32.4,35.22,37.21
AMBERLEY-AMO,40004,-27.63,152.71,32.42,31.55,30.39,28.43,25.43,23.21,22.88,23.4,27.32,29.25,30.22,31.64
BARCALDINE-POST-OFFICE,36007,-23.55,145.29,37.85,35.81,34.73,31.15,27.35,24.87,23.74,25.9,30.18,32.96,35.18,36.61
BATHURST-AGRICULTURAL-STATION,63005,-33.43,149.56,32.99,32.17,29.24,25.9,21.21,16.88,16.23,17.64,21.47,24.61,28.2,31.84
BIRDSVILLE-AIRPORT,38026,-25.9,139.35,41.64,39.82,37.17,31.49,26.74,23.11,23.05,25.27,30.55,33.7,37.08,39.05
BOULIA-AIRPORT,38003,-22.91,139.9,40.76,41.3,38.64,35.63,30.3,26.76,27.69,29.4,34.42,37.36,39.96,40.86
BOURKE-AIRPORT-AWS,48245,-30.04,145.95,38.32,37.46,34.21,29.92,24.94,20.98,20.41,22.77,27.38,30.0,34.33,37.01
BRIDGETOWN-COMPARISON,9510,-33.96,116.14,33.79,33.8,31.64,27.96,23.69,20.78,19.27,19.5,21.55,24.27,28.3,31.45
BRISBANE-AERO,40842,-27.39,153.12,32.63,32.68,31.77,29.67,27.35,25.3,24.46,25.56,27.62,29.31,30.27,31.7
BROOME-AIRPORT,3003,-17.95,122.23,36.33,35.21,37.09,38.09,36.23,32.93,32.48,33.56,35.08,35.85,36.72,35.84
BUNDABERG-AERO,39128,-24.91,152.32,32.03,31.46,30.62,28.81,26.61,24.92,23.79,25.41,27.48,29.11,29.83,30.83
