STATION_NAME,STN_ID,LAT,LON,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,30.4,30.36,26.76,23.94,20.23,17.09,16.59,17.15,19.37,22.18,25.55,27.55
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,24.75,25.66,24.55,23.29,20.23,17.53,16.52,16.98,18.13,19.61,21.51,23.38
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,37.79,35.34,34.51,29.67,24.97,21.38,20.77,24.04,30.03,32.57,35.2,37.0
AMBERLEY-AMO,40004,-27.63,152.71,32.29,30.98,29.91,27.74,25.34,22.96,22.37,24.21,27.78,29.26,30.08,31.62
BARCALDINE-POST-OFFICE,36007,-23.55,145.29,37.4,35.39,34.77,31.77,28.05,25.21,24.25,26.31,31.12,33.9,35.73,36.81
BATHURST-AGRICULTURAL-STATION,63005,-33.43,149.56,30.18,29.38,26.86,22.8,18.7,14.12,13.02,14.54,18.17,21.54,24.72,28.73
BIRDSVILLE-AIRPORT,38026,-25.9,139.35,43.39,43.05,39.42,34.94,28.88,24.67,24.56,28.92,33.68,36.3,39.41,40.46
BOULIA-AIRPORT,38003,-22.91,139.9,39.62,39.21,37.38,33.6,29.32,25.92,25.69,27.16,31.82,35.38,36.75,39.0
BOURKE-AIRPORT-AWS,48245,-30.04,145.95,39.29,37.03,33.54,29.22,24.24,20.42,19.07,22.46,27.24,29.95,33.05,36.5
BRIDGETOWN-COMPARISON,9510,-33.96,116.14,30.24,30.49,27.56,24.65,20.4,18.11,16.62,17.01,19.16,20.95,24.94,28.32
BRISBANE-AERO,40842,-27.39,153.12,29.79,29.3,28.4,26.77,24.24,22.03,21.72,22.06,24.59,26.06,27.37,29.0
BROOME-AIRPORT,3003,-17.95,122.23,34.37,33.99,35.19,35.75,33.28,30.85,30.58,31.11,32.1,33.68,34.56,34.08
BUNDABERG-AERO,39128,-24.91,152.32,31.3,30.91,29.6,28.0,25.4,23.81,22.49,24.09,26.29,27.47,29.3,30.55
BURKETOWN-AIRPORT,29077,-17.75,139.54,35.08,34.47,35.04,34.58,32.84,30.23,30.51,32.16,34.03,36.3,37.97,37.12
BUTLERS-GORGE,96003,-42.28,146.28,19.35,19.6,17.42,13.74,11.17,9.68,8.43,9.7,10.47,13.39,15.96,17.38
CABRAMURRA-SMHEA-AWS,72161,-35.94,148.38,22.67,22.7,19.81,15.67,11.93,8.34,6.29,6.75,10.11,14.06,17.33,19.97
CAIRNS-AERO,31011,-16.87,145.75,32.41,31.81,31.52,30.54,28.84,26.94,26.8,27.23,28.76,30.59,31.56,32.28
CAMOOWEAL-TOWNSHIP,37010,-19.92,138.12,38.39,37.44,37.02,34.97,31.02,27.94,26.96,30.29,34.61,37.71,39.22,39.34
CANBERRA-AIRPORT,70351,-35.31,149.2,30.55,30.97,25.61,23.88,17.6,13.81,13.85,15.43,18.68,22.15,24.28,28.08
CAPE-BORDA,22823,-35.75,136.6,24.34,24.78,22.9,19.88,17.89,15.87,15.21,15.34,16.8,18.59,21.15,22.84
CAPE-BRUNY-LIGHTHOUSE,94010,-43.49,147.15,19.01,19.27,17.84,16.44,14.46,12.62,12.25,12.6,14.08,15.21,16.41,17.43
CAPE-LEEUWIN,9518,-34.37,115.14,23.28,23.51,22.82,21.9,20.15,18.32,17.09,16.8,17.84,18.46,20.4,22.21
CAPE-MORETON-LIGHTHOUSE,40043,-27.03,153.47,32.06,32.19,30.94,28.85,26.59,24.23,23.65,24.35,26.8,28.79,30.04,31.14
CAPE-OTWAY-LIGHTHOUSE,90015,-38.86,143.51,22.77,22.81,21.37,19.32,16.97,14.89,14.46,14.91,16.41,17.54,19.42,20.66
CARNARVON-AIRPORT,6011,-24.89,113.67,32.22,33.43,33.12,31.34,27.42,24.49,23.19,24.17,25.23,27.11,28.74,30.2
CEDUNA-AMO,18012,-32.13,133.7,30.33,30.17,29.59,26.33,23.21,20.2,19.53,20.51,23.92,25.84,28.89,29.18
CHARLEVILLE-AERO,44021,-26.41,146.26,37.19,35.48,35.75,28.96,26.87,21.11,21.52,24.77,28.26,31.48,34.37,35.96
CHARTERS-TOWERS-AIRPORT,34084,-20.05,146.27,34.52,33.29,32.19,30.41,28.04,25.43,25.13,27.27,30.27,33.0,34.11,34.68
COBAR-MO,48027,-31.48,145.83,35.36,33.61,30.64,26.43,21.56,17.81,17.4,19.08,22.92,26.24,30.46,33.71
COFFS-HARBOUR-MO,59040,-30.31,153.12,27.77,27.68,26.51,24.8,22.36,20.44,19.69,20.62,23.15,25.05,25.33,26.78
CUNDERDIN-AIRFIELD,10286,-31.62,117.22,35.62,34.41,31.5,27.41,22.83,19.37,17.93,17.99,22.1,25.99,31.06,34.16
DALWALLINU-COMPARISON,8039,-30.28,116.66,36.6,36.37,33.27,28.33,22.52,18.98,18.01,19.16,22.52,27.27,30.96,34.3
DARWIN-AIRPORT,14015,-12.42,130.89,32.53,32.04,32.89,33.75,32.85,31.29,31.46,32.51,33.24,34.25,34.33,33.2
DENILIQUIN-AIRPORT-AWS,74258,-35.56,144.95,34.45,33.67,30.73,25.27,20.46,16.5,15.19,17.33,20.71,25.23,28.42,32.08
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,34.4,33.69,30.57,26.77,21.69,18.57,16.92,18.23,22.44,26.92,29.91,33.15
EAST-SALE-AIRPORT,85072,-38.12,147.13,26.0,26.2,24.24,21.03,17.85,14.96,14.45,16.1,17.91,20.26,21.87,24.01
ESPERANCE,9789,-33.83,121.89,28.88,28.77,27.41,25.75,22.95,20.3,18.97,19.44,21.94,23.14,25.25,26.48
EUCLA,11003,-31.68,128.88,27.11,25.44,25.3,24.82,21.88,19.28,18.6,20.33,22.58,23.87,24.88,25.79
FORREST,11052,-30.85,128.11,35.38,33.62,30.65,27.41,23.49,20.27,19.65,21.16,25.5,28.07,30.15,31.49
GABO-ISLAND-LIGHTHOUSE,84016,-37.57,149.92,23.45,23.05,22.31,21.08,18.56,16.64,15.52,15.91,17.41,18.98,20.24,21.21
