STATION_NAME,STN_ID,LAT,LON,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,31.48,31.37,28.12,24.81,21.28,17.92,17.2,17.87,20.54,22.98,26.65,28.38
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,25.24,26.03,25.45,23.5,20.55,18.0,16.95,17.02,18.34,19.52,21.85,23.75
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,38.4,37.32,35.35,31.37,25.18,21.06,20.52,23.71,29.07,31.41,34.38,36.06
AMBERLEY-AMO,40004,-27.63,152.71,32.9,31.87,31.21,29.2,26.06,23.38,22.88,24.12,27.58,29.5,31.04,32.28
BARCALDINE-POST-OFFICE,36007,-23.55,145.29,38.03,36.21,35.41,31.73,27.46,25.21,24.64,26.46,30.75,34.13,35.93,37.41
BATHURST-AGRICULTURAL-STATION,63005,-33.43,149.56,30.21,29.34,26.42,23.17,18.55,14.68,13.7,14.86,18.06,21.47,25.08,28.64
BIRDSVILLE-AIRPORT,38026,-25.9,139.35,40.88,39.28,36.91,32.1,26.63,23.5,22.97,25.62,30.75,34.13,37.79,39.44
BOULIA-AIRPORT,38003,-22.91,139.9,43.31,41.8,40.1,35.73,30.33,26.22,26.13,30.22,34.5,37.4,39.32,42.08
BOURKE-AIRPORT-AWS,48245,-30.04,145.95,38.01,35.66,33.21,28.16,23.11,20.01,18.53,20.76,25.91,28.94,32.08,35.92
BRIDGETOWN-COMPARISON,9510,-33.96,116.14,30.34,30.42,27.7,24.23,20.42,17.92,16.32,17.09,19.15,20.94,24.87,28.13
BRISBANE-AERO,40842,-27.39,153.12,30.86,30.84,29.65,27.57,25.17,22.86,22.39,23.11,25.79,27.34,28.07,29.93
BROOME-AIRPORT,3003,-17.95,122.23,34.14,33.64,34.79,35.86,33.17,30.97,30.87,31.53,32.41,33.68,34.34,33.91
BUNDABERG-AERO,39128,-24.91,152.32,31.79,31.91,31.14,29.01,26.32,24.54,23.79,25.38,27.53,28.83,29.7,31.61
BURKETOWN-AIRPORT,29077,-17.75,139.54,35.44,34.45,34.67,34.3,32.31,30.28,29.48,31.51,33.83,36.42,36.71,36.21
BUTLERS-GORGE,96003,-42.28,146.28,19.22,19.82,17.03,13.66,10.91,9.48,8.27,9.16,10.27,12.92,15.83,17.03
CABRAMURRA-SMHEA-AWS,72161,-35.94,148.38,20.48,21.13,17.82,13.14,9.42,5.56,3.81,4.51,8.09,12.06,14.51,18.04
CAIRNS-AERO,31011,-16.87,145.75,32.21,32.01,31.28,30.04,28.15,27.36,26.6,27.21,28.84,30.62,31.57,32.31
CAMOOWEAL-TOWNSHIP,37010,-19.92,138.12,39.46,38.73,36.89,35.03,31.36,28.11,28.32,29.46,35.0,37.97,39.24,39.6
CANBERRA-AIRPORT,70351,-35.31,149.2,30.93,28.92,25.11,22.62,17.2,13.94,13.42,14.16,17.77,21.24,25.4,27.94
CAPE-BORDA,22823,-35.75,136.6,24.15,24.46,22.43,19.8,17.45,15.51,14.76,14.84,16.34,18.13,20.19,22.1
CAPE-BRUNY-LIGHTHOUSE,94010,-43.49,147.15,22.44,22.61,21.03,19.81,17.74,16.12,15.48,15.83,16.95,17.63,19.15,20.79
CAPE-LEEUWIN,9518,-34.37,115.14,23.83,24.17,23.4,22.61,20.56,18.59,17.42,17.37,18.34,18.97,21.0,22.69
CAPE-MORETON-LIGHTHOUSE,40043,-27.03,153.47,30.37,30.43,29.48,27.71,25.26,23.35,22.78,23.24,25.27,26.83,28.44,29.43
CAPE-OTWAY-LIGHTHOUSE,90015,-38.86,143.51,20.85,21.38,19.91,17.77,15.79,13.84,13.3,13.73,15.21,16.55,17.94,19.04
CARNARVON-AIRPORT,6011,-24.89,113.67,35.01,36.56,35.25,33.16,30.46,26.92,26.64,27.12,28.38,30.4,32.24,33.13
CEDUNA-AMO,18012,-32.13,133.7,30.24,30.12,28.4,26.34,22.87,20.1,19.51,20.7,23.41,26.03,28.42,28.79
CHARLEVILLE-AERO,44021,-26.41,146.26,37.49,35.71,35.25,29.38,27.37,21.8,22.19,24.81,28.95,32.71,34.96,36.22
CHARTERS-TOWERS-AIRPORT,34084,-20.05,146.27,37.9,36.2,34.66,33.0,30.56,28.5,27.77,29.35,32.36,35.3,36.99,38.07
COBAR-MO,48027,-31.48,145.83,38.26,35.32,33.03,28.8,22.91,18.75,18.21,20.08,24.77,28.96,34.28,36.28
COFFS-HARBOUR-MO,59040,-30.31,153.12,28.36,28.03,26.77,25.15,22.64,20.92,20.27,21.13,23.69,25.3,26.25,27.72
CUNDERDIN-AIRFIELD,10286,-31.62,117.22,36.11,34.8,32.09,28.77,22.92,19.68,18.19,19.21,23.02,28.27,31.58,34.78
DALWALLINU-COMPARISON,8039,-30.28,116.66,37.12,36.17,33.63,29.87,23.97,20.06,18.54,19.64,23.28,27.25,32.15,34.99
DARWIN-AIRPORT,14015,-12.42,130.89,32.63,31.97,32.46,33.84,33.65,32.04,31.38,32.04,33.04,34.09,34.1,33.15
DENILIQUIN-AIRPORT-AWS,74258,-35.56,144.95,34.19,33.11,29.15,24.51,19.29,16.04,15.12,16.73,19.9,23.71,28.34,30.66
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,35.79,35.51,32.59,27.98,23.49,18.7,18.02,19.4,24.05,27.77,31.62,34.99
EAST-SALE-AIRPORT,85072,-38.12,147.13,27.37,27.3,25.05,22.32,18.26,15.51,14.97,16.37,18.25,20.41,22.84,24.84
ESPERANCE,9789,-33.83,121.89,27.1,27.23,25.94,23.63,21.18,18.59,17.48,18.09,20.1,21.75,23.82,24.63
EUCLA,11003,-31.68,128.88,27.41,26.82,26.12,24.66,22.43,20.03,19.37,20.37,23.22,24.61,25.73,25.7
FORREST,11052,-30.85,128.11,34.63,33.44,30.15,26.84,22.91,19.9,19.5,20.67,25.7,27.79,30.26,31.21
GABO-ISLAND-LIGHTHOUSE,84016,-37.57,149.92,22.56,23.15,22.33,20.75,18.44,16.7,15.73,16.03,17.58,18.77,19.96,21.13
GAYNDAH-AIRPORT,39066,-25.62,151.62,34.63,33.63,32.04,29.17,26.45,24.14,23.5,25.27,28.48,30.88,32.46,33.62
GEORGETOWN-AIRPORT,30124,-18.3,143.53,38.21,36.59,36.77,35.95,33.83,31.9,31.86,33.11,36.48,39.11,40.32,39.9
GERALDTON-AIRPORT-COMPARISON,8051,-28.8,114.7,32.18,33.74,31.49,29.61,24.7,21.74,20.03,20.86,22.42,25.05,28.12,30.13
GILES-METEOROLOGICAL-OFFICE,13017,-25.03,128.3,39.2,38.16,36.01,31.39,25.51,22.59,22.14,24.63,30.32,33.67,35.61,37.46
GROVE-RESEARCH-STATION,94220,-42.99,147.07,22.99,23.27,21.13,18.36,15.62,13.45,13.19,14.35,16.08,17.62,19.45,21.02
GUNNEDAH-RESOURCE-CENTRE,55024,-31.03,150.27,33.49,33.12,30.74,26.99,22.46,19.17,18.1,19.62,23.57,27.02,29.15,32.08
HALLS-CREEK-AIRPORT,2012,-18.23,127.66,38.33,36.8,37.52,35.65,31.38,28.34,28.26,30.37,36.24,38.62,40.04,39.15
HOBART-ELLERSLIE-ROAD,94029,-42.89,147.33,23.43,23.81,21.83,19.4,16.74,14.29,14.09,15.37,17.13,18.52,20.2,21.87
HORN-ISLAND,27058,-10.58,142.29,31.63,31.36,31.41,31.1,30.48,29.8,29.19,29.13,30.13,31.61,32.69,32.36
INVERELL-RAGLAN-ST,56242,-29.78,151.11,32.97,31.04,29.46,25.38,21.7,18.51,17.95,19.31,22.42,25.87,28.67,31.29
JERVIS-BAY-POINT-PERPENDICULAR-AWS,68151,-35.09,150.8,25.32,25.34,24.44,22.8,20.26,18.06,17.03,18.02,19.79,21.08,22.43,24.21
KALGOORLIE-BOULDER-AIRPORT,12038,-30.78,121.45,34.47,32.41,29.85,26.0,20.91,18.03,17.42,18.82,24.02,27.23,29.34,32.1
KALUMBURU,1019,-14.3,126.65,36.73,35.37,36.18,37.07,36.55,34.9,35.31,36.5,38.89,39.41,39.34,37.38
KATANNING-COMPARISON,10579,-33.69,117.56,31.63,30.96,28.75,25.18,20.43,16.9,16.03,16.29,18.97,22.11,26.33,29.92
KERANG,80023,-35.72,143.92,32.7,32.79,28.92,24.29,19.22,15.41,14.95,17.08,19.52,23.2,27.05,30.02
KYANCUTTA,18044,-33.13,135.56,33.81,34.01,30.34,26.64,22.18,18.91,18.05,19.12,22.85,25.83,29.07,31.06
LARAPUNA-EDDYSTONE-POINT,92045,-40.99,148.35,22.02,22.48,21.68,19.74,17.43,14.98,14.74,15.26,16.37,17.75,18.96,20.97
LAUNCESTON-AIRPORT,91311,-41.55,147.21,24.57,24.7,22.92,18.97,15.39,12.52,12.21,13.57,15.31,17.89,20.33,22.66
