STATION_NAME,STN_ID,LAT,LON,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,30.04,29.68,26.92,24.07,19.83,16.63,16.2,17.31,20.01,22.73,25.54,27.97
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,25.55,26.91,26.09,24.41,20.68,18.74,17.22,17.82,19.45,20.41,22.36,24.48
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,39.04,38.58,35.31,30.35,25.28,21.89,21.45,25.95,32.31,34.02,36.62,38.15
AMBERLEY-AMO,40004,-27.63,152.71,33.02,32.16,30.93,28.58,25.72,23.15,23.36,24.21,28.36,30.11,31.05,32.01
BARCALDINE-POST-OFFICE,36007,-23.55,145.29,38.0,37.34,36.28,32.77,29.16,26.36,26.03,27.18,30.87,34.11,35.83,37.92
BATHURST-AGRICULTURAL-STATION,63005,-33.43,149.56,29.5,28.51,25.97,21.68,17.41,13.73,12.65,13.95,17.54,20.54,23.79,27.61
BIRDSVILLE-AIRPORT,38026,-25.9,139.35,42.67,41.76,38.38,33.42,27.98,24.45,24.1,27.6,32.22,34.5,37.49,40.84
BOULIA-AIRPORT,38003,-22.91,139.9,40.48,39.06,36.87,33.2,28.79,25.22,25.33,26.54,32.93,35.66,37.73,39.47
BOURKE-AIRPORT-AWS,48245,-30.04,145.95,38.67,38.0,34.66,30.35,24.56,21.9,20.68,22.76,27.16,30.72,33.77,36.86
BRIDGETOWN-COMPARISON,9510,-33.96,116.14,30.98,31.2,28.41,25.02,21.18,18.52,17.09,17.6,19.31,21.59,25.66,28.46
BRISBANE-AERO,40842,-27.39,153.12,31.33,31.14,30.37,28.57,26.21,24.07,23.62,24.29,26.44,28.1,29.34,30.46
BROOME-AIRPORT,3003,-17.95,122.23,34.11,33.17,34.94,35.5,33.26,30.74,30.01,31.36,32.05,33.15,34.36,34.09
BUNDABERG-AERO,39128,-24.91,152.32,31.21,30.74,30.01,28.37,25.72,24.18,23.28,24.57,27.17,28.1,29.18,30.3
BURKETOWN-AIRPORT,29077,-17.75,139.54,36.34,35.64,36.63,36.36,34.8,32.51,31.13,32.83,35.42,37.91,38.64,37.68
BUTLERS-GORGE,96003,-42.28,146.28,19.67,20.14,17.45,14.47,11.61,10.37,9.13,9.87,10.88,13.52,16.44,17.33
CABRAMURRA-SMHEA-AWS,72161,-35.94,148.38,20.37,21.13,17.86,13.57,9.81,5.91,3.91,4.53,8.33,11.84,14.75,18.24
CAIRNS-AERO,31011,-16.87,145.75,32.27,31.83,30.95,29.84,28.7,27.25,26.68,27.57,29.18,30.48,31.57,31.92
CAMOOWEAL-TOWNSHIP,37010,-19.92,138.12,39.85,38.99,38.34,36.36,32.71,29.38,29.92,31.15,35.68,38.81,39.37,39.88
CANBERRA-AIRPORT,70351,-35.31,149.2,29.53,29.2,24.41,22.39,16.86,13.39,13.18,14.4,17.58,20.58,24.13,26.62
CAPE-BORDA,22823,-35.75,136.6,26.12,25.77,24.96,22.04,19.39,17.47,16.61,17.03,18.4,20.34,22.7,24.33
CAPE-BRUNY-LIGHTHOUSE,94010,-43.49,147.15,19.49,19.64,18.83,17.04,15.17,12.86,12.78,13.6,14.53,15.67,16.71,18.43
CAPE-LEEUWIN,9518,-34.37,115.14,23.57,24.04,23.25,22.29,20.01,18.2,17.18,16.99,17.91,18.91,20.74,22.52
CAPE-MORETON-LIGHTHOUSE,40043,-27.03,153.47,28.84,28.81,27.79,25.77,23.4,21.84,20.88,21.5,23.59,25.1,26.65,27.95
CAPE-OTWAY-LIGHTHOUSE,90015,-38.86,143.51,23.0,22.78,21.06,19.48,16.83,14.64,13.95,14.81,15.81,17.5,19.08,20.0
CARNARVON-AIRPORT,6011,-24.89,113.67,32.36,34.14,32.84,31.24,28.47,25.82,24.35,24.65,25.89,27.54,29.45,30.65
CEDUNA-AMO,18012,-32.13,133.7,30.64,30.46,28.92,26.08,22.58,19.97,19.2,20.26,23.38,25.91,27.62,28.35
CHARLEVILLE-AERO,44021,-26.41,146.26,40.19,37.33,37.24,32.18,29.31,23.96,23.97,27.87,32.57,37.16,39.18,38.8
CHARTERS-TOWERS-AIRPORT,34084,-20.05,146.27,35.86,35.39,34.78,32.41,29.61,26.99,26.84,27.55,31.25,34.22,35.16,36.28
COBAR-MO,48027,-31.48,145.83,35.86,35.07,31.8,26.73,21.58,17.86,17.09,19.01,24.05,27.11,30.23,34.1
COFFS-HARBOUR-MO,59040,-30.31,153.12,28.63,28.53,27.23,25.67,23.34,21.4,20.72,21.53,24.33,25.71,26.31,28.08
CUNDERDIN-AIRFIELD,10286,-31.62,117.22,34.95,33.32,30.66,27.59,22.15,18.21,16.83,17.96,20.97,26.25,29.98,32.99
DALWALLINU-COMPARISON,8039,-30.28,116.66,36.18,36.0,32.91,28.29,22.71,19.17,17.68,18.62,22.81,26.92,30.37,33.6
DARWIN-AIRPORT,14015,-12.42,130.89,33.06,32.46,33.14,34.23,33.55,32.21,32.21,32.57,34.06,34.57,34.78,33.87
DENILIQUIN-AIRPORT-AWS,74258,-35.56,144.95,33.81,33.47,29.64,25.21,20.26,17.0,15.48,17.15,20.88,25.46,28.98,31.65
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,33.56,32.27,29.4,25.36,21.1,17.17,15.99,17.8,22.4,26.24,30.39,32.51
EAST-SALE-AIRPORT,85072,-38.12,147.13,26.47,26.65,23.8,21.28,17.84,15.24,15.03,16.67,17.77,20.36,22.53,24.69
ESPERANCE,9789,-33.83,121.89,27.1,27.33,26.08,24.11,21.46,18.77,17.62,18.35,20.2,22.13,23.98,24.83
EUCLA,11003,-31.68,128.88,27.32,27.03,26.51,24.65,22.57,19.92,19.31,20.67,23.69,25.66,26.39,26.32
FORREST,11052,-30.85,128.11,33.53,33.4,30.24,26.27,22.6,19.36,18.93,20.26,25.43,27.45,29.33,30.56
GABO-ISLAND-LIGHTHOUSE,84016,-37.57,149.92,23.91,24.35,23.1,21.84,19.52,17.8,16.64,17.08,18.77,20.24,20.97,22.39
GAYNDAH-AIRPORT,39066,-25.62,151.62,34.51,33.55,32.58,29.56,26.7,24.18,23.83,25.25,28.83,31.15,32.25,33.58
GEORGETOWN-AIRPORT,30124,-18.3,143.53,35.14,33.87,33.86,33.19,31.53,29.11,29.36,30.41,34.15,36.45,37.65,36.73
GERALDTON-AIRPORT-COMPARISON,8051,-28.8,114.7,32.26,33.49,32.2,29.21,24.86,21.49,20.0,20.47,22.77,25.64,28.35,29.86
GILES-METEOROLOGICAL-OFFICE,13017,-25.03,128.3,39.42,38.08,35.19,31.34,25.13,22.07,22.37,24.81,30.09,33.91,36.08,37.63
GROVE-RESEARCH-STATION,94220,-42.99,147.07,24.2,24.49,22.41,19.78,16.63,14.41,14.08,14.95,16.54,18.43,20.73,22.18
GUNNEDAH-RESOURCE-CENTRE,55024,-31.03,150.27,34.82,34.26,32.45,28.32,24.21,19.78,19.27,20.91,25.58,29.02,31.76,34.13
HALLS-CREEK-AIRPORT,2012,-18.23,127.66,37.46,36.41,36.5,34.7,31.21,28.95,28.51,31.13,34.95,37.54,39.0,38.24
HOBART-ELLERSLIE-ROAD,94029,-42.89,147.33,23.65,24.1,22.23,19.87,17.11,14.48,14.5,15.65,17.56,18.9,20.43,22.09
HORN-ISLAND,27058,-10.58,142.29,33.25,32.69,32.53,32.61,31.99,31.39,30.83,31.04,31.84,32.92,34.08,33.9
INVERELL-RAGLAN-ST,56242,-29.78,151.11,31.7,30.3,28.87,25.09,21.47,18.15,16.76,19.05,22.34,25.73,27.42,30.1
JERVIS-BAY-POINT-PERPENDICULAR-AWS,68151,-35.09,150.8,25.52,25.5,23.87,22.6,19.44,17.36,16.5,17.33,19.33,21.68,22.1,24.19
KALGOORLIE-BOULDER-AIRPORT,12038,-30.78,121.45,36.74,33.93,31.41,27.18,22.58,18.75,18.45,19.64,25.12,28.6,30.75,33.97
KALUMBURU,1019,-14.3,126.65,35.36,33.79,34.92,35.94,35.04,32.97,32.91,34.01,36.67,37.62,37.78,36.09
KATANNING-COMPARISON,10579,-33.69,117.56,31.68,31.02,27.99,24.78,20.25,17.21,15.75,16.32,19.29,21.9,26.24,29.7
KERANG,80023,-35.72,143.92,32.94,32.74,28.94,24.48,19.44,16.29,15.45,17.02,20.79,24.65,28.55,30.92
KYANCUTTA,18044,-33.13,135.56,34.84,34.77,31.79,27.59,23.11,19.85,19.06,20.03,23.92,27.41,30.23,32.32
LARAPUNA-EDDYSTONE-POINT,92045,-40.99,148.35,22.04,22.58,21.59,19.18,17.27,15.33,14.49,15.01,16.25,17.51,19.02,20.72
LAUNCESTON-AIRPORT,91311,-41.55,147.21,24.46,24.93,22.93,19.38,15.71,12.68,12.54,13.63,14.97,17.58,20.22,22.66
LAVERTON-RAAF,87031,-37.86,144.76,27.25,27.77,26.66,22.75,19.42,16.57,15.4,16.58,18.8,21.24,23.7,26.23
