STATION_NAME,STN_ID,LAT,LON,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,30.88,31.24,29.41,24.7,21.44,17.99,16.65,17.72,20.65,23.23,27.22,29.3
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,26.72,27.71,26.88,24.96,21.54,18.75,18.15,18.38,19.96,21.4,23.71,25.6
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,37.67,36.19,33.41,29.24,25.12,21.73,21.31,23.33,28.57,30.85,34.17,36.98
AMBERLEY-AMO,40004,-27.63,152.71,34.32,32.62,31.54,29.47,26.63,24.33,23.31,25.07,28.63,30.57,32.3,33.51
BARCALDINE-POST-OFFICE,36007,-23.55,145.29,37.86,37.01,36.46,33.15,29.09,25.8,25.52,27.46,31.5,34.4,36.8,38.13
BATHURST-AGRICULTURAL-STATION,63005,-33.43,149.56,29.95,29.75,27.08,23.0,18.75,14.4,13.29,15.14,18.81,22.12,25.66,29.38
BIRDSVILLE-AIRPORT,38026,-25.9,139.35,40.7,39.59,37.21,31.53,26.36,23.25,22.31,24.14,30.25,32.89,37.18,38.66
BOULIA-AIRPORT,38003,-22.91,139.9,41.12,39.89,37.91,33.17,28.67,25.63,25.96,27.83,32.38,35.69,38.09,39.3
BOURKE-AIRPORT-AWS,48245,-30.04,145.95,37.79,36.94,33.6,28.91,23.9,20.64,19.89,22.05,25.73,29.01,33.84,35.79
BRIDGETOWN-COMPARISON,9510,-33.96,116.14,30.51,30.2,27.82,24.08,20.43,17.94,16.6,17.34,19.23,21.78,25.19,28.13
BRISBANE-AERO,40842,-27.39,153.12,30.49,29.91,29.05,27.38,24.81,22.81,21.96,22.93,25.25,26.79,28.16,29.12
BROOME-AIRPORT,3003,-17.95,122.23,33.88,33.05,34.25,35.0,32.43,30.48,30.52,30.92,32.53,33.69,34.07,34.45
BUNDABERG-AERO,39128,-24.91,152.32,31.79,31.55,30.83,29.3,26.82,24.54,23.85,25.15,27.32,28.57,29.76,30.92
BURKETOWN-AIRPORT,29077,-17.75,139.54,36.32,35.07,35.79,35.78,34.13,31.17,30.88,32.66,34.88,37.59,38.57,37.48
BUTLERS-GORGE,96003,-42.28,146.28,18.96,19.26,16.74,13.9,11.08,9.62,8.21,9.08,10.15,13.14,16.06,16.9
CABRAMURRA-SMHEA-AWS,72161,-35.94,148.38,21.01,21.49,18.22,13.81,10.15,5.83,4.79,5.02,8.44,11.61,15.47,18.77
CAIRNS-AERO,31011,-16.87,145.75,33.25,32.98,32.48,31.3,29.67,28.14,27.55,28.65,30.4,31.75,32.27,32.86
CAMOOWEAL-TOWNSHIP,37010,-19.92,138.12,38.65,38.01,36.61,34.52,30.86,27.6,28.27,30.13,34.38,37.68,38.63,38.45
CANBERRA-AIRPORT,70351,-35.31,149.2,29.65,29.16,25.27,22.75,17.45,13.74,13.03,13.67,17.81,20.76,24.12,27.05
CAPE-BORDA,22823,-35.75,136.6,23.98,23.63,21.77,19.96,17.1,15.25,14.83,14.95,16.15,17.88,20.02,22.04
CAPE-BRUNY-LIGHTHOUSE,94010,-43.49,147.15,19.67,19.96,18.87,17.3,15.19,13.29,13.16,13.38,14.54,15.63,16.94,18.19
CAPE-LEEUWIN,9518,-34.37,115.14,23.25,23.63,22.94,21.97,20.14,18.29,16.88,16.95,17.85,18.55,20.52,22.2
CAPE-MORETON-LIGHTHOUSE,40043,-27.03,153.47,28.42,28.45,27.15,25.18,23.07,20.8,20.31,21.38,22.91,24.73,25.75,27.08
CAPE-OTWAY-LIGHTHOUSE,90015,-38.86,143.51,21.16,21.56,19.82,18.5,16.46,14.17,13.66,14.08,15.02,16.74,17.99,19.18
CARNARVON-AIRPORT,6011,-24.89,113.67,32.77,34.61,34.21,32.01,28.36,25.2,24.18,24.5,26.47,28.48,29.97,31.54
CEDUNA-AMO,18012,-32.13,133.7,29.91,30.08,28.69,25.85,22.27,19.86,19.33,20.66,23.48,25.02,27.22,29.06
CHARLEVILLE-AERO,44021,-26.41,146.26,38.73,36.13,36.96,30.71,28.86,23.2,21.74,25.9,29.74,33.62,36.14,37.86
CHARTERS-TOWERS-AIRPORT,34084,-20.05,146.27,36.23,35.49,34.3,32.31,30.06,27.91,27.76,28.49,31.64,34.2,35.83,36.58
COBAR-MO,48027,-31.48,145.83,37.57,35.63,33.96,28.64,23.5,19.56,17.89,20.6,25.31,29.18,32.29,36.2
COFFS-HARBOUR-MO,59040,-30.31,153.12,27.82,27.57,26.27,24.89,22.37,20.65,19.71,21.01,22.9,24.63,25.38,26.62
CUNDERDIN-AIRFIELD,10286,-31.62,117.22,35.25,34.73,30.83,26.96,22.47,18.94,16.99,17.6,21.6,25.65,30.12,33.31
DALWALLINU-COMPARISON,8039,-30.28,116.66,36.74,35.04,33.39,28.99,22.56,19.02,17.4,18.92,22.11,27.13,30.56,34.02
DARWIN-AIRPORT,14015,-12.42,130.89,34.33,34.09,34.42,35.67,35.46,34.27,34.33,34.79,35.57,36.03,35.91,35.19
DENILIQUIN-AIRPORT-AWS,74258,-35.56,144.95,35.62,34.58,30.83,27.18,21.49,18.04,16.99,18.74,21.78,25.47,30.75,33.06
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,34.22,33.47,30.6,26.92,21.96,18.05,16.78,18.06,21.75,25.93,30.14,33.4
EAST-SALE-AIRPORT,85072,-38.12,147.13,27.13,26.23,24.29,21.38,17.84,15.27,14.79,15.76,17.98,20.16,22.75,24.02
ESPERANCE,9789,-33.83,121.89,27.44,27.43,26.29,24.34,21.4,18.59,17.7,18.04,20.17,21.52,23.58,25.33
EUCLA,11003,-31.68,128.88,27.2,27.56,26.4,25.1,22.75,20.22,19.49,20.78,23.65,25.8,26.9,27.15
FORREST,11052,-30.85,128.11,34.28,33.04,29.53,26.65,23.13,19.37,18.78,20.31,25.06,27.15,29.89,30.87
GABO-ISLAND-LIGHTHOUSE,84016,-37.57,149.92,23.9,24.1,22.8,21.85,19.48,17.12,16.66,17.27,18.66,20.38,20.89,22.48
GAYNDAH-AIRPORT,39066,-25.62,151.62,33.86,33.02,31.58,29.11,26.37,23.83,22.51,24.77,28.49,30.24,32.27,33.17
GEORGETOWN-AIRPORT,30124,-18.3,143.53,35.84,35.24,35.49,34.98,32.89,30.94,30.61,32.02,35.54,37.95,38.42,37.99
GERALDTON-AIRPORT-COMPARISON,8051,-28.8,114.7,32.36,33.74,31.31,28.93,25.3,22.26,20.44,20.24,22.76,24.81,28.25,30.25
GILES-METEOROLOGICAL-OFFICE,13017,-25.03,128.3,39.2,38.0,37.11,32.58,27.14,23.59,22.44,25.39,31.14,35.88,37.12,37.9
GROVE-RESEARCH-STATION,94220,-42.99,147.07,23.31,24.02,21.53,18.8,15.82,13.44,13.26,14.45,16.2,18.08,19.73,21.41
GUNNEDAH-RESOURCE-CENTRE,55024,-31.03,150.27,35.6,35.44,33.65,29.47,25.37,21.22,20.11,22.4,26.04,29.91,32.45,34.58
